Site,label_metal,E_ads,max_d_CO,min_d_CO,OCO_ang,PE_h,IP_h,EA_h,rs_h,rp_h,rd_h,rval_h,bulk_nnd,PE_sa,IP_sa,EA_sa,rs_sa,rp_sa,rd_sa,rval_sa,PE_site,IP_site,EA_site,PE_snn,IP_snn,EA_snn,CN,gen_CN,site_no
Cu_110_Ir_sub_OCO_short_SA-C,1,-0.72904,0.0826,0.0745,137.06,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.05,8.413,1.3965,1.925,7.8405,1.2561,5.0,5.7778,2
Cu_110_Ni_sub_OCO_hollow_SA-O,1,-0.00341,0.1132,0.0988,124.64,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.9025,7.7045,1.21,1.9005,7.7217,1.2244,4.0,6.1111,4
Cu_110_Ni_sub_OCO_hollow_3at_SA-C,1,-0.40174,0.1073,0.0871,128.92,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.9033,7.6973,1.204,1.9006,7.7212,1.224,5.0,5.8462,3
Cu_110_Ni_sub_OCO_ontop_SA-C,1,-0.05895,0.0486,0.0484,147.5,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.91,7.64,1.156,1.9013,7.7153,1.219,7.0,5.8333,1
Cu_110_Ni_sub_OCO_long_SA-C,1,-0.45990,0.0786,0.0768,135.75,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.905,7.683,1.192,1.9007,7.7199,1.2229,6.0,5.9,2
Cu_110_Ni_sub_OCO_short_SA-C,1,-0.46005,0.0736,0.065,139.96,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.905,7.683,1.192,1.9008,7.7188,1.222,5.0,5.7778,2
Cu_110_Ni_sub_OCO_ontop_2_SA-C,1,-0.28949,0.0758,0.0757,138.17,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.9033,7.6973,1.204,1.9006,7.7206,1.2235,4.3333,5.75,3
Cu_110_Os_sub_OCO_long_SA-C,1,-1.13528,0.1201,0.0777,131.56,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.05,8.213,1.164,1.9214,7.7956,1.2189,6.0,5.9,2
Cu_110_Os_sub_OCO_ontop_SA-C,1,-0.41877,0.0652,0.0651,142.57,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.7,1.1,1.9375,7.8477,1.212,7.0,5.8333,1
Cu_110_Os_sub_OCO_long_SA-O,1,-0.17481,0.2518,0.0328,119.6,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.05,8.213,1.164,1.9214,7.7956,1.2189,6.0,5.9,2
