index,host,DA_pair,EA_site,IP_site,PE_site,rd_saAB
100,Cu,CdTa,0.161,8.442,1.595,0.6783
101,Cu,CdW,0.4075,8.487,2.025,0.6550500000000000
102,Cu,InHf,0.15,6.3055,1.54,0.69435
103,Cu,InTa,0.311,6.838000000000000,1.64,0.66515
104,Cu,SnHf,0.6,7.0845,1.63,0.6826
105,Cu,SnTa,0.761,7.617,1.73,0.6534
106,Cu,HfTa,0.161,7.3575,1.4,0.8664500000000000
107,Cu,HfW,0.4075,7.4025,1.83,0.8432
108,Cu,HfRe,0.075,7.3525,1.6,0.8237
109,Cu,HfOs,0.55,7.762500000000000,1.75,0.8074000000000000
110,Cu,HfIr,0.7825,7.9625,1.75,0.79475
111,Cu,HfPt,1.064,7.9125,1.79,0.7831000000000000
112,Cu,HfAu,1.1545,8.025500000000000,1.92,0.76965
113,Cu,HfHg,0.0,8.6315,1.65,0.7558
114,Cu,HfTl,0.1,6.4665,1.46,0.7431
115,Cu,TaW,0.5685,7.935,1.93,0.8140000000000000
116,Cu,TaRe,0.236,7.885,1.7,0.7945
117,Cu,TaOs,0.7110000000000000,8.295,1.85,0.7782
118,Cu,TaIr,0.9435,8.495,1.85,0.76555
119,Cu,TaPt,1.225,8.445,1.89,0.7539
120,Cu,TaHg,0.161,9.164,1.75,0.7266
121,Cu,TaTl,0.261,6.999,1.56,0.7139
122,Cu,WRe,0.4825,7.93,2.13,0.77125
123,Cu,WHg,0.4075,9.209,2.18,0.7033500000000000
124,Cu,WTl,0.5075,7.0440000000000000,1.99,0.69065
125,Cu,ReOs,0.625,8.29,2.05,0.7354500000000000
126,Cu,ReIr,0.8575000000000000,8.49,2.05,0.7228
127,Cu,RePt,1.139,8.44,2.09,0.71115
128,Cu,ReAu,1.2295,8.553,2.22,0.6977
129,Cu,ReHg,0.075,9.159,1.95,0.6838500000000000
130,Cu,ReTl,0.175,6.994,1.76,0.67115
131,Cu,OsHg,0.55,9.569,2.1,0.66755
132,Cu,OsTl,0.65,7.404,1.91,0.6548500000000000
133,Cu,IrHg,0.7825,9.769,2.1,0.6549
